LINKID	N	DATE_	TIME1	TIME2	DAYLENGTH	LONG	LAT	COMMENT	VISCODE	TRACKTIME	ELAPSED	DISTANCE	VELOCITY	SUNRISE	SUNSET	DAYNIGHT	PLENGTH
164	382	08/01/2008	7:59:55 PM	10:51:51:666	14:51:56:666	-49.94	51.35	0	0	887054000	8.888888889	100.693000000	11.327909510	11:23	19:30	N	0.92
165	383	09/01/2008	10:51:51 AM	19:48:45:002	08:56:53:002	-48.44	52.20	1	0	887108000	15.000000000	139.850000000	9.323322345	11:20	19:21	N	1.72
166	384	09/01/2008	7:48:45 PM	11:01:31:153	15:12:46:153	-49.65	53.50	0	0	887140000	8.888888889	165.714000000	18.642869960	11:32	19:20	N	1.78
167	385	10/01/2008	11:01:31 AM	19:58:45:002	08:57:13:002	-50.79	53.70	0	0	887195000	15.277777780	78.391352180	5.131070324	11:37	19:25	N	1.16
168	386	10/01/2008	7:58:45 PM	10:50:58:044	14:52:13:044	-49.47	52.41	0	0	887227000	8.888888889	168.287000000	18.932239510	11:25	19:26	N	1.85
169	387	11/01/2008	10:50:58 AM	19:49:05:002	08:58:06:002	-48.16	52.59	1	0	887281000	15.000000000	90.847732850	6.056515523	11:20	19:21	N	1.32
170	388	11/01/2008	7:49:05 PM	10:50:44:991	15:01:39:991	-48.13	53.19	0	0	887313000	8.888888889	66.705398930	7.504357380	11:23	19:18	N	0.60
171	389	12/01/2008	10:50:44 AM	19:55:45:005	09:05:00:005	-48.87	53.00	0	0	887367000	15.000000000	53.704046900	3.580269794	11:24	19:24	N	0.76
172	390	12/01/2008	7:55:45 PM	10:30:44:991	14:34:59:991	-46.37	51.22	1	0	887400000	9.166666667	261.189000000	28.493325920	11:06	19:22	N	3.07
173	391	13/01/2008	10:30:44 AM	19:09:30:001	08:38:45:001	-40.49	53.23	1	0	887452000	14.444444440	458.160000000	31.718745770	10:51	18:50	N	6.21
174	392	13/01/2008	7:09:30 PM	09:50:57:500	14:41:27:500	-35.51	53.64	1	0	887483000	8.611111111	332.744000000	38.641208610	10:33	18:28	N	5.00
175	393	14/01/2008	9:50:57 AM	18:35:45:005	08:44:47:005	-31.20	53.53	1	0	887536000	14.722222220	284.537000000	19.327070310	10:14	18:13	N	4.31
176	394	14/01/2008	6:35:45 PM	09:03:14:998	14:27:29:998	-25.24	52.62	1	0	887568000	8.888888889	410.405000000	46.170588260	09:46	17:54	N	6.03
177	397	16/01/2008	8:40:54 AM	17:15:45:005	08:34:50:005	-12.26	49.84	1	0	887705000	38.055555560	953.011000000	25.042612860	08:41	17:17	N	13.27
178	398	16/01/2008	5:15:45 PM	08:32:44:998	15:16:59:998	-11.24	56.79	0	0	887736000	8.611111111	775.259000000	90.030094120	09:10	16:39	N	7.02
179	399	17/01/2008	8:32:44 AM	16:59:30:001	08:26:45:001	-9.12	57.53	1	0	887791000	15.277777780	151.924000000	9.944092464	09:05	16:28	N	2.25
180	400	17/01/2008	4:59:30 PM	08:31:34:999	15:32:04:999	-8.98	58.30	0	0	887821000	8.333333333	85.964407990	10.315728960	09:09	16:23	N	0.78
181	401	18/01/2008	8:31:34 AM	15:59:50:455	07:28:15:455	-1.44	61.29	1	0	887877000	15.555555560	536.193000000	34.469538100	09:00	15:33	N	8.11
182	402	18/01/2008	3:59:50 PM	08:02:24:998	16:02:34:998	2.21	62.50	1	0	887904000	7.500000000	233.591000000	31.145527070	08:56	15:08	N	3.85
183	403	19/01/2008	8:02:24 AM	16:45:45:005	08:43:20:005	-3.45	59.62	1	0	887962000	16.111111110	441.348000000	27.394037380	08:53	15:56	N	6.35
184	404	19/01/2008	4:45:45 PM	08:01:44:999	15:15:59:999	-3.37	57.21	0	0	887993000	8.611111111	267.852000000	31.105387120	08:37	16:11	N	2.41
185	405	20/01/2008	8:01:44 AM	16:48:15:002	08:46:30:002	-3.60	57.38	1	0	888048000	15.277777780	23.400601260	1.531675719	08:38	16:13	N	0.29
186	406	20/01/2008	4:48:15 PM	07:55:44:995	15:07:29:995	-2.85	56.90	0	0	888080000	8.888888889	69.928648160	7.866972918	08:32	16:13	N	0.89
187	407	21/01/2008	7:55:44 AM	16:48:15:002	08:52:30:002	-2.77	56.91	1	0	888134000	15.000000000	4.979773874	0.331984925	08:30	16:15	N	0.08
188	408	21/01/2008	4:48:15 PM	08:05:44:995	15:17:29:995	-4.02	57.49	0	0	888166000	8.888888889	99.073951060	11.145819490	08:39	16:16	N	1.38
189	409	22/01/2008	8:05:44 AM	15:40:45:009	07:35:00:009	4.49	61.70	1	0	888221000	15.277777780	668.303000000	43.743491510	08:31	15:16	N	9.49
190	410	22/01/2008	3:40:45 PM	08:11:39:545	16:30:54:545	3.75	64.53	0	0	888248000	7.500000000	316.669000000	42.222569500	09:00	14:53	N	2.93
191	411	23/01/2008	8:11:39 AM	16:39:05:002	08:27:25:002	-3.48	62.93	1	0	888308000	16.666666670	397.267000000	23.836023740	09:11	15:41	N	7.40
192	412	23/01/2008	4:39:05 PM	08:01:02:647	15:21:57:647	-2.15	59.82	1	0	888338000	8.333333333	352.758000000	42.330986350	08:42	15:59	N	3.38
193	413	24/01/2008	8:01:02 AM	16:55:45:005	08:54:42:005	-4.17	58.77	1	0	888394000	15.555555560	163.547000000	10.513759170	08:42	16:16	N	2.28
194	414	24/01/2008	4:55:45 PM	07:52:10:713	14:56:25:713	-3.06	57.29	0	0	888426000	8.888888889	176.952000000	19.907112430	08:29	16:20	N	1.85
195	415	25/01/2008	7:52:10 AM	16:27:25:003	08:35:14:003	0.55	58.85	1	0	888480000	15.000000000	273.920000000	18.261322310	08:21	15:59	N	3.93
196	416	25/01/2008	4:27:25 PM	08:11:08:077	15:43:43:077	-1.83	61.29	1	0	888510000	8.333333333	301.504000000	36.180466500	08:47	15:53	N	3.41
197	417	26/01/2008	8:11:08 AM	16:29:19:287	08:18:11:287	-2.00	62.48	1	0	888567000	15.833333330	132.538000000	8.370825988	08:54	15:48	N	1.20
198	418	26/01/2008	4:29:19 PM	08:01:34:999	15:32:15:999	-0.81	61.96	0	0	888597000	8.333333333	84.483137310	10.137976480	08:45	15:47	N	1.30
199	419	27/01/2008	8:01:34 AM	16:57:25:003	08:55:50:003	-4.26	60.54	1	0	888653000	15.555555560	242.646000000	15.598702100	08:47	16:13	N	3.73
200	420	27/01/2008	4:57:25 PM	07:41:34:999	14:44:09:999	-1.76	57.78	1	0	888685000	8.888888889	338.100000000	38.036299260	08:21	16:19	N	3.72
201	421	28/01/2008	7:41:34 AM	17:50:02:144	10:08:27:144	-8.29	53.06	3	0	888738000	14.722222220	666.260000000	45.255378350	08:24	17:09	N	8.06
202	422	28/01/2008	5:50:02 PM	07:43:14:998	13:53:12:998	-8.50	48.46	0	0	888775000	10.277777780	511.388000000	49.756669840	08:09	17:25	N	4.60
203	423	29/01/2008	7:43:14 AM	16:59:55:001	09:16:40:001	-2.18	53.64	1	0	888825000	13.888888890	724.851000000	52.189301030	08:00	16:44	N	8.17
204	424	29/01/2008	4:59:55 PM	07:44:04:997	14:44:09:997	-2.29	57.40	1	0	888858000	9.166666667	417.888000000	45.587735630	08:17	16:28	N	3.76
205	425	30/01/2008	7:44:04 AM	16:58:15:002	09:14:10:002	-2.03	58.07	1	0	888911000	14.722222220	76.034495860	5.164607266	08:18	16:26	N	0.72
206	426	30/01/2008	4:58:15 PM	07:52:24:998	14:54:09:998	-3.07	58.71	1	0	888944000	9.166666667	93.417858040	10.191039060	08:25	16:27	N	1.22
207	427	31/01/2008	7:52:24 AM	17:00:45:009	09:08:20:009	-3.34	59.60	1	0	888998000	15.000000000	100.090000000	6.672691581	08:29	16:25	N	0.93
208	428	31/01/2008	5:00:45 PM	07:51:44:999	14:50:59:999	-3.26	59.40	0	0	889031000	9.166666667	22.678398580	2.474007118	08:27	16:26	N	0.22
209	429	01/02/2008	7:51:44 AM	17:15:45:005	09:24:00:005	-5.10	58.94	1	0	889084000	14.722222220	116.587000000	7.919132840	08:30	16:39	N	1.90
210	430	01/02/2008	5:15:45 PM	07:51:16:578	14:35:31:578	-5.04	57.89	0	0	889118000	9.444444444	116.734000000	12.360028640	08:25	16:43	N	1.05
211	431	02/02/2008	7:51:16 AM	17:10:09:706	09:18:53:706	-4.30	58.81	2	0	889171000	14.722222220	110.966000000	7.537342509	08:24	16:38	N	1.18
212	432	02/02/2008	5:10:09 PM	06:55:44:995	13:45:35:995	2.64	55.06	3	0	889204000	9.166666667	591.637000000	64.542226140	07:40	16:27	N	7.89
213	433	03/02/2008	6:55:44 AM	16:08:15:002	09:12:30:002	10.41	56.19	1	0	889254000	13.888888890	503.115000000	36.224263720	07:11	15:54	N	7.85
214	434	03/02/2008	4:08:15 PM	07:24:16:350	15:16:01:350	6.84	62.26	2	0	889287000	9.166666667	704.144000000	76.815738780	07:56	15:38	N	7.04
215	435	04/02/2008	7:24:16 AM	17:30:23:572	10:06:07:572	-3.39	59.53	3	0	889342000	15.277777780	629.730000000	41.218660710	08:19	16:36	N	10.59
216	438	05/02/2008	4:19:19 PM	07:14:04:997	14:54:45:997	6.79	53.77	1	0	889460000	32.777777780	890.608000000	27.171096440	07:13	16:21	D	11.70
217	439	06/02/2008	7:14:04 AM	16:29:05:002	09:15:00:002	5.59	62.67	1	0	889514000	15.000000000	991.460000000	66.097310900	07:55	15:49	N	8.98
218	440	06/02/2008	4:29:05 PM	07:21:12:272	14:52:07:272	4.70	62.51	0	0	889547000	9.166666667	48.877743840	5.332117510	07:58	15:54	N	0.90
219	441	07/02/2008	7:21:12 AM	16:55:45:005	09:34:32:005	1.39	61.95	1	0	889601000	15.000000000	182.301000000	12.153426110	08:05	16:13	N	3.36
220	445	09/02/2008	7:23:14 AM	17:27:25:003	10:04:10:003	-2.80	58.51	1	0	889774000	48.055555560	446.539000000	9.292131275	08:01	16:51	N	5.42
221	446	09/02/2008	5:27:25 PM	07:15:44:995	13:48:19:995	-1.86	56.02	0	0	889810000	10.000000000	282.401000000	28.240077170	07:48	16:57	N	2.66
222	447	10/02/2008	7:15:44 AM	17:09:38:334	09:53:53:334	0.37	57.77	1	0	889860000	13.888888890	236.905000000	17.057149850	07:43	16:44	N	2.83
223	450	11/02/2008	4:50:02 PM	07:40:44:991	14:50:42:991	-0.30	60.09	1	0	889981000	33.611111110	260.654000000	7.755005587	07:52	16:40	N	2.41
224	451	12/02/2008	7:40:44 AM	17:28:49:932	09:48:04:932	-5.14	64.55	1	0	890034000	14.722222220	554.668000000	37.675550670	08:30	16:40	N	6.58
225	452	12/02/2008	5:28:49 PM	07:11:39:545	13:42:49:545	-1.51	59.44	1	0	890069000	9.722222222	598.367000000	61.546309590	07:52	16:50	N	6.27
226	453	13/02/2008	7:11:39 AM	17:35:45:005	10:24:05:005	-2.37	56.82	0	0	890119000	13.888888890	295.481000000	21.274658380	07:43	17:05	N	2.76
227	454	13/02/2008	5:35:45 PM	07:11:27:856	13:35:42:856	-2.35	56.05	0	0	890156000	10.277777780	85.575158910	8.326231677	07:41	17:07	N	0.77
228	455	14/02/2008	7:11:27 AM	17:40:13:422	10:28:45:422	-2.91	56.47	0	0	890205000	13.611111110	58.077177560	4.266894678	07:42	17:10	N	0.70
229	456	14/02/2008	5:40:13 PM	07:10:44:991	13:30:31:991	-2.82	55.88	0	0	890243000	10.555555560	65.799746390	6.233660184	07:40	17:12	N	0.60
230	457	15/02/2008	7:10:44 AM	17:30:11:667	10:19:26:667	-1.57	57.90	0	0	890291000	13.333333330	236.940000000	17.770476720	07:39	17:03	N	2.38
231	458	15/02/2008	5:30:11 PM	07:21:24:999	13:51:13:999	-2.91	60.02	1	0	890329000	10.555555560	247.769000000	23.472851230	07:52	17:01	N	2.51
232	459	16/02/2008	7:21:24 AM	17:08:45:002	09:47:20:002	-0.24	63.78	1	0	890378000	13.611111110	440.487000000	32.362336630	07:54	16:38	N	4.61
233	460	16/02/2008	5:08:45 PM	07:11:20:294	14:02:35:294	1.02	64.65	1	0	890414000	10.000000000	114.260000000	11.426004180	07:53	16:28	N	1.53
234	461	17/02/2008	7:11:20 AM	16:58:45:002	09:47:24:002	2.26	65.59	0	0	890464000	13.888888890	119.461000000	8.601222609	07:49	16:22	N	1.56
235	462	17/02/2008	4:58:45 PM	07:05:44:995	14:06:59:995	2.96	65.90	0	0	890500000	10.000000000	46.987146050	4.698714605	07:48	16:18	N	0.77
236	463	18/02/2008	7:05:44 AM	17:55:45:005	10:50:00:005	-4.18	61.63	1	0	890550000	13.888888890	589.309000000	42.430239950	07:54	17:08	N	8.32
237	464	18/02/2008	5:55:45 PM	07:04:04:997	13:08:19:997	-3.97	54.51	0	0	890589000	10.833333330	791.306000000	73.043629210	07:32	17:29	N	7.12
238	465	19/02/2008	7:04:04 AM	17:50:32:500	10:46:27:500	-3.34	56.22	0	0	890637000	13.333333330	194.143000000	14.560708260	07:31	17:24	N	1.82
239	466	19/02/2008	5:50:32 PM	07:01:03:750	13:10:31:750	-2.96	56.53	1	0	890675000	10.555555560	41.635380680	3.944404486	07:31	17:22	N	0.49
240	467	20/02/2008	7:01:03 AM	17:19:30:001	10:18:26:001	0.89	61.28	1	0	890723000	13.333333330	571.987000000	42.899056480	07:27	16:55	N	6.11
241	468	20/02/2008	5:19:30 PM	06:53:14:998	13:33:44:998	1.87	63.71	0	0	890760000	10.277777780	274.669000000	26.724583940	07:32	16:42	N	2.62
242	469	21/02/2008	6:53:14 AM	17:00:35:625	10:07:20:625	4.21	65.91	1	0	890809000	13.611111110	268.317000000	19.713071190	07:28	16:27	N	3.21
243	470	21/02/2008	5:00:35 PM	06:22:10:713	13:21:35:713	8.09	64.80	1	0	890845000	10.000000000	217.980000000	21.797960950	07:08	16:16	N	4.04
244	471	22/02/2008	6:22:10 AM	16:59:45:001	10:37:34:001	8.17	62.91	0	0	890893000	13.333333330	210.063000000	15.754721180	06:57	16:26	N	1.89
245	472	22/02/2008	4:59:45 PM	06:15:44:995	13:15:59:995	8.98	62.25	1	0	890932000	10.833333330	84.244127760	7.776381024	06:52	16:25	N	1.04
246	473	23/02/2008	6:15:44 AM	17:50:13:422	11:34:28:422	2.64	55.31	3	0	890979000	13.055555560	852.363000000	65.287344360	06:56	17:11	N	9.40
247	476	24/02/2008	5:19:19 PM	06:14:04:997	12:54:45:997	6.68	57.85	0	0	891106000	35.277777780	375.118000000	10.633269640	06:43	16:51	N	4.77
248	477	25/02/2008	6:14:04 AM	17:38:15:002	11:24:10:002	4.28	56.56	1	0	891152000	12.777777780	203.488000000	15.925119950	06:47	17:06	N	2.72
249	478	25/02/2008	5:38:15 PM	06:51:03:750	13:12:48:750	-0.35	59.83	1	0	891193000	11.388888890	453.176000000	39.791070900	07:13	17:17	N	5.67
250	479	26/02/2008	6:51:03 AM	18:00:25:000	11:09:21:000	-3.15	63.85	1	0	891241000	13.333333330	470.127000000	35.259525390	07:32	17:20	N	4.90
251	480	26/02/2008	6:00:25 PM	06:35:44:995	12:35:19:995	-1.24	57.48	1	0	891281000	11.111111110	715.381000000	64.384324090	07:08	17:28	N	6.65
252	481	27/02/2008	6:35:44 AM	18:18:45:002	11:43:00:002	-3.57	51.56	1	0	891326000	12.500000000	674.703000000	53.976273650	07:05	17:50	N	6.36
253	482	27/02/2008	6:18:45 PM	06:41:27:856	12:22:42:856	-4.29	47.89	0	0	891368000	11.666666670	411.090000000	35.236302230	07:03	17:58	N	3.74
254	483	28/02/2008	6:41:27 AM	18:10:17:728	11:28:49:728	-3.27	54.16	1	0	891413000	12.500000000	700.372000000	56.029770460	07:06	17:47	N	6.35
255	484	28/02/2008	6:10:17 PM	06:50:59:286	12:40:41:286	-4.46	58.60	1	0	891454000	11.388888890	498.778000000	43.795099460	07:18	17:44	N	4.60
256	485	29/02/2008	6:50:59 AM	17:18:45:002	10:27:45:002	1.94	70.63	1	0	891500000	12.777777780	1369.340000000	107.166000000	07:25	16:46	N	13.63
257	486	29/02/2008	5:18:45 PM	05:53:14:998	12:34:29:998	9.15	69.91	1	0	891538000	10.555555560	281.872000000	26.703689260	06:53	16:20	N	7.25
